"[Mandatory]
Choose action required for the product item. 
- Add New Item
- Edit Item Content Info
- Delete The SKU
- Change Price Only
- Change Active Status Only","[Mandatory]
State the SKU Code that is used by vendor to track the product item in their Inventory Management. ","[Mandatory]
Except for Fresh Produce (Vegetable, Fruit, Flower, Meat and Seafood) and Bakery Good (Baked Bread and Cake). 
If need exemption, then please submit Exemption Request at: https://forms.gle/1C9z8Znf4EkcdKG27

Example of Barcode:
","[Mandatory]
The Product Title of each product item must be unique; if there is same Product Title for 2 or more product items, then it will be omitted.
Product Title should follow below format:
[Brand] [Product name] [Quantity (if any)] [Weight / Volume]
- Tiger Lager Beer Can 10s x 320ml
- Blackmores Men’s Performance Multivitamin 100 Tablets","[Optional]
The Product Title of each product item must be unique; if there is same Product Title for 2 or more product items, then it will be omitted.
Product Title should follow below format:
[Brand] [Product name] [Quantity (if any)] [Weight / Volume]
- Tiger Lager Beer Can 10s x 320ml
- Blackmores Men’s Performance Multivitamin 100 Tablets","[Optional]
The Product Title of each product item must be unique; if there is same Product Title for 2 or more product items, then it will be omitted.
Product Title should follow below format:
[Brand] [Product name] [Quantity (if any)] [Weight / Volume]
- Tiger Lager Beer Can 10s x 320ml
- Blackmores Men’s Performance Multivitamin 100 Tablets","[Mandatory]
Fill in ""Unknown Brand"" if the product item is handmade or have no Brand info provided. ","[Mandatory]
Fill in ""Unknown Principal"" if the product item have no Manufacturer info provided. ","[Mandatory]
Input the link of Google Drive folder that store all the product images at here.","[Mandatory]
Input number only and can up to 2 decimal points. 
E.g. 10.50","[Mandatory]
Put ""0"" if there is no limit per checkout.
E.g. If you only allow customers to buy 3 items of that product per order, then put ""3"" for that product item. ","[Mandatory]
Choose the most suitable category from the dropbox.
Please see ""Category Tree"" tab for the full list of categories. ","[Mandatory]
- 0 = the product is Inactive and not showing in App and Web
- 1 = the product is Active and showing in App and Web","[Optional]
Choose the Tagging that matched your product item for Disclaimer purpose. 
- disclaimer_baby_formula
- disclaimer_adult_product
- disclaimer_pharmacy
- disclaimer_alcoholic
- disclaimer_tobacco","[Optional]
- Only accept text, no image and video is allowed. 
- No word formatting is allowed (e.g. Bold, Italic, Underline, etc). 
- Paragraphing (breaking the description into multiple lines) is allowed. 
- Special character is allowed (e.g. ! @ # $ % ^ & *) but the file needs to be saved in “CSV UTF-8” format to maintain the special character. 
- Maximum 8400 characters limit including spaces.",,,,,,,,,,,,
Action Required,SKU number,Product Barcode,Product Title (ENGLISH),Product Title (MALAY),Product Title (CHINESE),Brand (EN),Manufacturer / Principal (EN),Image URL (Google Drive Link),Product Price (RM),Limit on Item per checkout,Child Category (EN),Is Active?,Tags,Product Description (EN),Product Description (MY),Product Description (CN),,,,,,,,,,
Add New Item,303010029,9556001255778,MAGGI PEDASGILLER TOMYAM 97G,,,MAGGI,MAGGI,,4.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010043,9556001255778,MAGGI PEDASGILLER 2X AYAM BAKAR 96G,,,MAGGI,MAGGI,,4.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010010,9556001255730,MAGGI PEDASGILLER FLAMING SEAFOOD 91G,,,MAGGI,MAGGI,,4.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,50503060357,9556001278494,MAGGI FUSIAN KARAI MISO 115G,,,MAGGI,MAGGI,,6.70,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,50503060356,9556001278531,MAGGI FUSIAN SARANG KIMCHI 115G,,,MAGGI,MAGGI,,6.70,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,3030100111,9556001243430,MAGGI CURRY LAKSA CHICKEN 99G,,,MAGGI,MAGGI,,4.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010011,9556001249357,MAGGI ROASTED SESAME CHICKEN 91G,,,MAGGI,MAGGI,,4.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010012,9556001249371,MAGGI HM TOM YAM KAW 91G,,,MAGGI,MAGGI,,4.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010019,9556001177339,MAGGI HOT CUP CHICKEN 57G,,,MAGGI,MAGGI,,2.20,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010020,9556001000750,MAGGI HOT CUP TOMYUM 61G,,,MAGGI,MAGGI,,2.20,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
